Thu Nov 12 17:29:19 2020,1605173359316
经过毫秒数,总线电压1,分压电压1,功率1,电流1,总线电压2,分压电压2,功率2,电流2
60,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
212,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
364,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
520,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
672,0.004,-1e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
830,0.004,-2e-05,0.0,-0.2,0.004,-2e-05,0.0,-0.2
986,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1148,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
1309,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.2
1472,0.004,-2e-05,0.0,-0.1,0.0,-3.0000000000000004e-05,0.0,-0.2
1621,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
1785,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.2
1940,0.004,-1e-05,0.0,-0.1,0.0,-2e-05,0.0,-0.30000000000000004
2098,0.004,-2e-05,0.0,-0.2,0.0,-2e-05,0.0,-0.2
2258,0.004,-2e-05,0.0,-0.2,0.0,-3.0000000000000004e-05,0.0,-0.30000000000000004
